date,country,D,H,I,M,S
2021-05-18,Japan,3,0,0,118,0
2021-05-18,Sweden,0,0,0,9,0
2021-05-19,Afghanistan,1,0,0,36,0
2021-05-19,Japan,3,0,0,118,0
2021-05-19,Sweden,0,0,0,9,0
2021-05-20,Afghanistan,1,0,0,36,0
2021-05-20,Japan,3,0,0,118,0
2021-05-20,Sweden,0,0,0,9,0
2021-05-21,Afghanistan,1,0,0,36,0
2021-05-21,Japan,3,0,0,118,0
2021-05-21,Sweden,0,0,0,9,0
2021-05-22,Afghanistan,1,0,0,36,0
2021-05-22,Japan,3,0,0,118,0
2021-05-22,Sweden,0,0,0,9,0
2021-05-23,Afghanistan,1,0,0,36,0
2021-05-23,Japan,3,0,0,118,0
2021-05-23,Sweden,0,0,0,9,0
2021-05-24,Afghanistan,1,0,0,36,0
2021-05-24,Japan,3,0,0,118,0
2021-05-24,Sweden,0,0,0,9,0
2021-05-25,Afghanistan,1,0,0,36,0
2021-05-25,Japan,3,0,0,118,0
2021-05-25,Sweden,0,0,0,9,0
2021-05-26,Afghanistan,1,0,0,36,0
2021-05-26,Japan,3,0,0,118,0
2021-05-26,Sweden,0,0,0,9,0
2021-05-27,Afghanistan,1,0,0,36,0
2021-05-27,Japan,3,0,0,118,0
2021-05-27,Sweden,0,0,0,9,0
2021-05-28,Afghanistan,1,0,0,36,0
2021-05-28,Japan,3,0,0,118,0
2021-05-28,Sweden,0,0,0,9,0
2021-05-29,Afghanistan,1,0,0,36,0
2021-05-29,Japan,3,0,0,118,0
2021-05-29,Sweden,0,0,0,9,0
2021-05-30,Afghanistan,1,0,0,36,0
2021-05-30,Japan,3,0,0,118,0
2021-05-30,Sweden,0,0,0,9,0
2021-05-31,Afghanistan,1,0,0,36,0
2021-05-31,Japan,3,0,0,118,0
2021-05-31,Sweden,0,0,0,9,0
2021-06-01,Afghanistan,1,0,0,36,0
2021-06-01,Japan,3,0,0,118,0
2021-06-01,Sweden,0,0,0,9,0
2021-06-02,Afghanistan,1,0,0,36,0
2021-06-02,Japan,3,0,0,118,0
2021-06-02,Sweden,0,0,0,9,0
2021-06-03,Afghanistan,1,0,0,36,0
2021-06-03,Japan,3,0,0,118,0
2021-06-03,Sweden,0,0,0,9,0
2021-06-04,Afghanistan,1,0,0,36,0
2021-06-04,Japan,3,0,0,118,0
2021-06-04,Sweden,0,0,0,9,0
2021-06-05,Afghanistan,1,0,0,36,0
2021-06-05,Japan,3,0,0,118,0
2021-06-05,Sweden,0,0,0,9,0
2021-06-06,Afghanistan,1,0,0,36,0
2021-06-06,Japan,3,0,0,118,0
2021-06-06,Sweden,0,0,0,9,0
2021-06-07,Afghanistan,1,0,0,36,0
2021-06-07,Japan,3,0,0,118,0
2021-06-07,Sweden,0,0,0,9,0
2021-06-08,Afghanistan,1,0,0,36,0
2021-06-08,Japan,3,0,0,118,0
2021-06-08,Sweden,0,0,0,9,0
2021-06-09,Afghanistan,1,0,0,36,0
2021-06-09,Japan,3,0,0,118,0
2021-06-09,Sweden,0,0,0,9,0
2021-06-10,Afghanistan,1,0,0,36,0
2021-06-10,Japan,3,0,0,118,0
2021-06-10,Sweden,0,0,0,9,0
2021-06-11,Afghanistan,1,0,0,36,0
2021-06-11,Japan,3,0,0,118,0
2021-06-11,Sweden,0,0,0,9,0
2021-06-12,Afghanistan,1,0,0,36,0
2021-06-12,Japan,3,0,0,118,0
2021-06-12,Sweden,0,0,0,9,0
2021-06-13,Afghanistan,1,0,0,36,0
2021-06-13,Japan,3,0,0,118,0
2021-06-13,Sweden,0,0,0,9,0
2021-06-14,Afghanistan,1,0,0,36,0
2021-06-14,Japan,3,0,0,118,0
2021-06-14,Sweden,0,0,0,9,0
2021-06-15,Afghanistan,1,0,0,36,0
2021-06-15,Japan,3,0,0,118,0
2021-06-15,Sweden,0,0,0,9,0
2021-06-16,Afghanistan,1,0,0,36,0
2021-06-16,Japan,3,0,0,118,0
2021-06-16,Sweden,0,0,0,9,0
2021-06-17,Afghanistan,1,0,0,36,0
2021-06-17,Japan,3,0,0,118,0
2021-06-17,Sweden,0,0,0,9,0
2021-06-18,Afghanistan,1,0,0,36,0
2021-06-18,Japan,3,0,0,118,0
2021-06-18,Sweden,0,0,0,9,0
2021-06-19,Afghanistan,1,0,0,36,0
2021-06-19,Japan,3,0,0,118,0
2021-06-19,Sweden,0,0,0,9,0
2021-06-20,Afghanistan,1,0,0,36,0
2021-06-20,Japan,3,0,0,118,0
2021-06-20,Sweden,0,0,0,9,0
2021-06-21,Afghanistan,1,0,0,36,0
2021-06-21,Japan,3,0,0,118,0
2021-06-21,Sweden,0,0,0,9,0
2021-06-22,Afghanistan,1,0,0,36,0
2021-06-22,Japan,3,0,0,118,0
2021-06-22,Sweden,0,0,0,9,0
2021-06-23,Afghanistan,1,0,0,36,0
2021-06-23,Japan,3,0,0,118,0
2021-06-23,Sweden,0,0,0,9,0
2021-06-24,Afghanistan,1,0,0,36,0
2021-06-24,Japan,3,0,0,118,0
2021-06-24,Sweden,0,0,0,9,0
2021-06-25,Afghanistan,1,0,0,36,0
2021-06-25,Japan,3,0,0,118,0
2021-06-25,Sweden,0,0,0,9,0
2021-06-26,Afghanistan,1,0,0,36,0
2021-06-26,Japan,3,0,0,118,0
2021-06-26,Sweden,0,0,0,9,0
2021-06-27,Afghanistan,1,0,0,36,0
2021-06-27,Japan,3,0,0,118,0
2021-06-27,Sweden,0,0,0,9,0
2021-06-28,Afghanistan,1,0,0,36,0
2021-06-28,Japan,3,0,0,118,0
2021-06-28,Sweden,0,0,0,9,0
2021-06-29,Afghanistan,1,0,0,36,0
2021-06-29,Japan,3,0,0,118,0
2021-06-29,Sweden,0,0,0,9,0
2021-06-30,Afghanistan,1,0,0,36,0
2021-06-30,Japan,3,0,0,118,0
2021-06-30,Sweden,0,0,0,9,0
2021-07-01,Afghanistan,1,0,0,36,0
2021-07-01,Japan,3,0,0,118,0
2021-07-01,Sweden,0,0,0,9,0
2021-07-02,Afghanistan,1,0,0,36,0
2021-07-02,Japan,3,0,0,118,0
2021-07-02,Sweden,0,0,0,9,0
2021-07-03,Afghanistan,1,0,0,36,0
2021-07-03,Japan,3,0,0,118,0
2021-07-03,Sweden,0,0,0,9,0
2021-07-04,Afghanistan,1,0,0,36,0
2021-07-04,Japan,3,0,0,118,0
2021-07-04,Sweden,0,0,0,9,0
2021-07-05,Afghanistan,1,0,0,36,0
2021-07-05,Japan,3,0,0,118,0
2021-07-05,Sweden,0,0,0,9,0
2021-07-06,Afghanistan,1,0,0,36,0
2021-07-06,Japan,3,0,0,118,0
2021-07-06,Sweden,0,0,0,9,0
2021-07-07,Afghanistan,1,0,0,36,0
2021-07-07,Japan,3,0,0,118,0
2021-07-07,Sweden,0,0,0,9,0
2021-07-08,Afghanistan,1,0,0,36,0
2021-07-08,Japan,3,0,0,118,0
2021-07-08,Sweden,0,0,0,9,0
2021-07-09,Afghanistan,1,0,0,36,0
2021-07-09,Japan,3,0,0,118,0
2021-07-09,Sweden,0,0,0,9,0
2021-07-10,Afghanistan,1,0,0,36,0
2021-07-10,Japan,3,0,0,118,0
2021-07-10,Sweden,0,0,0,9,0
2021-07-11,Afghanistan,1,0,0,36,0
2021-07-11,Japan,3,0,0,118,0
2021-07-11,Sweden,0,0,0,9,0
2021-07-12,Afghanistan,1,0,0,36,0
2021-07-12,Japan,3,0,0,118,0
2021-07-12,Sweden,0,0,0,9,0
2021-07-13,Afghanistan,1,0,0,36,0
2021-07-13,Japan,3,0,0,118,0
2021-07-13,Sweden,0,0,0,9,0
2021-07-14,Afghanistan,1,0,0,36,0
2021-07-14,Japan,3,0,0,118,0
2021-07-14,Sweden,0,0,0,9,0
2021-07-15,Afghanistan,1,0,0,36,0
2021-07-15,Japan,3,0,0,118,0
2021-07-15,Sweden,0,0,0,9,0
2021-07-16,Afghanistan,1,0,0,36,0
2021-07-16,Japan,3,0,0,118,0
2021-07-16,Sweden,0,0,0,9,0
2021-07-17,Afghanistan,1,0,0,36,0
2021-07-17,Japan,3,0,0,118,0
2021-07-17,Sweden,0,0,0,9,0
2021-07-18,Afghanistan,1,0,0,36,0
2021-07-18,Japan,3,0,0,118,0
2021-07-18,Sweden,0,0,0,9,0
2021-07-19,Afghanistan,1,0,0,36,0
2021-07-19,Japan,3,0,0,118,0
2021-07-19,Sweden,0,0,0,9,0
2021-07-20,Afghanistan,1,0,0,36,0
2021-07-20,Japan,3,0,0,118,0
2021-07-20,Sweden,0,0,0,9,0
2021-07-21,Afghanistan,1,0,0,36,0
2021-07-21,Japan,3,0,0,118,0
2021-07-21,Sweden,0,0,0,9,0
2021-07-22,Afghanistan,1,0,0,36,0
2021-07-22,Japan,3,0,0,118,0
2021-07-22,Sweden,0,0,0,9,0
2021-07-23,Afghanistan,1,0,0,36,0
2021-07-23,Japan,3,0,0,118,0
2021-07-23,Sweden,0,0,0,9,0
2021-07-24,Afghanistan,1,0,0,36,0
2021-07-24,Japan,3,0,0,118,0
2021-07-24,Sweden,0,0,0,9,0
2021-07-25,Afghanistan,1,0,0,36,0
2021-07-25,Japan,3,0,0,118,0
2021-07-25,Sweden,0,0,0,9,0
2021-07-26,Afghanistan,1,0,0,36,0
2021-07-26,Japan,3,0,0,118,0
2021-07-26,Sweden,0,0,0,9,0
2021-07-27,Afghanistan,1,0,0,36,0
2021-07-27,Japan,3,0,0,118,0
2021-07-27,Sweden,0,0,0,9,0
2021-07-28,Afghanistan,1,0,0,36,0
2021-07-28,Japan,3,0,0,118,0
2021-07-28,Sweden,0,0,0,9,0
2021-07-29,Afghanistan,1,0,0,36,0
2021-07-29,Japan,3,0,0,118,0
2021-07-29,Sweden,0,0,0,9,0
2021-07-30,Afghanistan,1,0,0,36,0
2021-07-30,Japan,3,0,0,118,0
2021-07-30,Sweden,0,0,0,9,0
2021-07-31,Afghanistan,1,0,0,36,0
2021-07-31,Japan,3,0,0,118,0
2021-07-31,Sweden,0,0,0,9,0
2021-08-01,Afghanistan,1,0,0,36,0
2021-08-01,Japan,3,0,0,118,0
2021-08-01,Sweden,0,0,0,9,0
2021-08-02,Afghanistan,1,0,0,36,0
2021-08-02,Japan,3,0,0,118,0
2021-08-02,Sweden,0,0,0,9,0
2021-08-03,Afghanistan,1,0,0,36,0
2021-08-03,Japan,3,0,0,118,0
2021-08-03,Sweden,0,0,0,9,0
2021-08-04,Afghanistan,1,8,0,28,0
2021-08-04,Japan,3,11,0,107,0
2021-08-04,Sweden,0,0,0,9,0
2021-08-05,Afghanistan,1,11,0,25,0
2021-08-05,Japan,3,29,0,89,0
2021-08-05,Sweden,0,2,0,7,0
2021-08-06,Afghanistan,1,11,3,22,0
2021-08-06,Japan,3,31,4,83,0
2021-08-06,Sweden,0,3,0,6,0
2021-08-07,Afghanistan,1,10,6,20,0
2021-08-07,Japan,3,30,9,79,0
2021-08-07,Sweden,0,5,0,4,0
2021-08-08,Afghanistan,1,8,8,20,0
2021-08-08,Japan,3,22,21,75,0
2021-08-08,Sweden,0,5,0,4,0
2021-08-09,Afghanistan,1,6,10,20,0
2021-08-09,Japan,3,19,29,70,0
2021-08-09,Sweden,0,4,1,4,0
2021-08-10,Afghanistan,1,5,9,21,1
2021-08-10,Japan,3,19,27,71,1
2021-08-10,Sweden,0,2,3,4,0
2021-08-11,Afghanistan,1,5,6,22,3
2021-08-11,Japan,3,15,27,73,3
2021-08-11,Sweden,0,2,4,3,0
2021-08-12,Afghanistan,1,5,4,24,3
2021-08-12,Japan,3,14,17,80,7
2021-08-12,Sweden,0,3,4,2,0
2021-08-13,Afghanistan,1,5,4,22,5
2021-08-13,Japan,3,12,12,82,12
2021-08-13,Sweden,0,2,4,3,0
2021-08-14,Afghanistan,1,6,2,21,7
2021-08-14,Japan,3,10,12,82,14
2021-08-14,Sweden,0,2,2,5,0
2021-08-15,Afghanistan,1,6,2,21,7
2021-08-15,Japan,3,9,10,81,18
2021-08-15,Sweden,0,1,2,5,1
2021-08-16,Afghanistan,1,6,2,21,7
2021-08-16,Japan,3,8,9,82,19
2021-08-16,Sweden,0,1,2,5,1
2021-08-17,Afghanistan,1,5,1,23,7
2021-08-17,Japan,3,6,8,84,20
2021-08-17,Sweden,0,1,1,6,1
2021-08-18,Afghanistan,1,6,1,22,7
2021-08-18,Japan,3,18,8,72,20
2021-08-18,Sweden,0,2,1,5,1
2021-08-19,Afghanistan,1,11,1,17,7
2021-08-19,Japan,3,33,5,59,21
2021-08-19,Sweden,0,1,1,5,2
2021-08-20,Afghanistan,1,10,2,17,7
2021-08-20,Japan,3,34,9,54,21
2021-08-20,Sweden,0,2,1,4,2
2021-08-21,Afghanistan,1,7,5,16,8
2021-08-21,Japan,3,41,10,46,21
2021-08-21,Sweden,0,1,2,4,2
2021-08-22,Afghanistan,1,9,6,13,8
2021-08-22,Japan,3,31,18,47,22
2021-08-22,Sweden,0,0,3,4,2
2021-08-23,Afghanistan,1,10,6,12,8
2021-08-23,Japan,3,24,29,43,22
2021-08-23,Sweden,0,0,2,4,3
2021-08-24,Afghanistan,1,8,7,13,8
2021-08-24,Japan,3,21,31,43,23
2021-08-24,Sweden,0,0,2,4,3
2021-08-25,Afghanistan,1,7,4,15,10
2021-08-25,Japan,3,17,34,46,21
2021-08-25,Sweden,0,0,1,5,3
2021-08-26,Afghanistan,1,7,3,16,10
2021-08-26,Japan,5,17,26,50,23
2021-08-26,Sweden,0,0,0,5,4
2021-08-27,Afghanistan,2,7,3,17,8
2021-08-27,Japan,4,12,20,62,23
2021-08-27,Sweden,0,0,0,5,4
2021-08-28,Afghanistan,2,7,2,19,7
2021-08-28,Japan,3,11,16,65,26
2021-08-28,Sweden,0,0,0,5,4
2021-08-29,Afghanistan,1,7,1,21,7
2021-08-29,Japan,4,13,10,66,28
2021-08-29,Sweden,0,0,0,6,3
2021-08-30,Afghanistan,1,6,3,20,7
2021-08-30,Japan,3,13,9,69,27
2021-08-30,Sweden,0,0,0,6,3
2021-08-31,Afghanistan,1,6,3,20,7
2021-08-31,Japan,4,10,7,72,28
2021-08-31,Sweden,0,0,0,6,3
2021-09-01,Afghanistan,1,4,4,20,8
2021-09-01,Japan,3,7,7,74,30
2021-09-01,Sweden,0,0,0,6,3
2021-09-02,Afghanistan,1,4,5,19,8
2021-09-02,Japan,3,3,11,75,29
2021-09-02,Sweden,0,0,0,7,2
2021-09-03,Afghanistan,1,3,4,21,8
2021-09-03,Japan,3,2,11,75,30
2021-09-03,Sweden,0,0,0,7,2
2021-09-04,Afghanistan,1,2,5,22,7
2021-09-04,Japan,3,1,9,75,33
2021-09-04,Sweden,0,0,0,7,2
2021-09-05,Afghanistan,1,2,3,23,8
2021-09-05,Japan,3,1,6,76,35
2021-09-05,Sweden,0,0,0,7,2
2021-09-06,Afghanistan,1,2,2,24,8
2021-09-06,Japan,3,1,2,79,36
2021-09-06,Sweden,0,0,0,8,1
2021-09-07,Afghanistan,1,2,1,25,8
2021-09-07,Japan,4,1,1,81,34
2021-09-07,Sweden,0,0,0,8,1
2021-09-08,Afghanistan,1,2,0,29,5
2021-09-08,Japan,3,1,0,82,35
2021-09-08,Sweden,0,0,0,8,1
2021-09-09,Afghanistan,1,2,0,29,5
2021-09-09,Japan,4,1,0,87,29
2021-09-09,Sweden,1,0,0,8,0
2021-09-10,Afghanistan,1,2,0,29,5
2021-09-10,Japan,4,1,0,92,24
2021-09-10,Sweden,1,0,0,8,0
2021-09-11,Afghanistan,1,2,0,30,4
2021-09-11,Japan,4,1,0,97,19
2021-09-11,Sweden,1,0,0,8,0
2021-09-12,Afghanistan,1,4,0,28,4
2021-09-12,Japan,4,1,0,103,13
2021-09-12,Sweden,1,0,0,8,0
2021-09-13,Afghanistan,1,3,1,28,4
2021-09-13,Japan,3,2,0,103,13
2021-09-13,Sweden,1,0,0,8,0
2021-09-14,Afghanistan,1,3,1,28,4
2021-09-14,Japan,3,2,0,105,11
2021-09-14,Sweden,1,0,0,8,0
2021-09-15,Afghanistan,1,3,1,29,3
2021-09-15,Japan,4,2,0,106,9
2021-09-15,Sweden,1,0,0,8,0
2021-09-16,Afghanistan,1,3,1,29,3
2021-09-16,Japan,3,2,0,107,9
2021-09-16,Sweden,1,0,0,8,0
2021-09-17,Afghanistan,1,2,1,29,4
2021-09-17,Japan,3,2,0,108,8
2021-09-17,Sweden,1,0,0,8,0
2021-09-18,Afghanistan,1,2,1,29,4
2021-09-18,Japan,4,2,0,110,5
2021-09-18,Sweden,1,0,0,8,0
2021-09-19,Afghanistan,1,1,2,30,3
2021-09-19,Japan,3,2,0,114,2
2021-09-19,Sweden,1,0,0,8,0
2021-09-20,Afghanistan,1,1,2,30,3
2021-09-20,Japan,3,2,0,115,1
2021-09-20,Sweden,1,0,0,8,0
2021-09-21,Afghanistan,1,1,1,31,3
2021-09-21,Japan,3,1,1,115,1
2021-09-21,Sweden,1,0,0,8,0
2021-09-22,Afghanistan,1,0,2,32,2
2021-09-22,Japan,3,1,1,116,0
2021-09-22,Sweden,1,0,0,8,0
2021-09-23,Afghanistan,1,0,1,33,2
2021-09-23,Japan,3,1,1,116,0
2021-09-23,Sweden,1,0,0,8,0
2021-09-24,Afghanistan,1,0,1,33,2
2021-09-24,Japan,3,1,1,116,0
2021-09-24,Sweden,1,0,0,8,0
2021-09-25,Afghanistan,1,0,1,33,2
2021-09-25,Japan,3,1,0,116,1
2021-09-25,Sweden,1,0,0,8,0
2021-09-26,Afghanistan,1,0,0,34,2
2021-09-26,Japan,3,1,0,116,1
2021-09-26,Sweden,1,0,0,8,0
2021-09-27,Afghanistan,1,0,0,34,2
2021-09-27,Japan,3,1,0,116,1
2021-09-27,Sweden,1,0,0,8,0
2021-09-28,Afghanistan,1,0,0,34,2
2021-09-28,Japan,3,1,0,116,1
2021-09-28,Sweden,1,0,0,8,0
2021-09-29,Afghanistan,1,0,0,34,2
2021-09-29,Japan,3,1,0,116,1
2021-09-29,Sweden,1,0,0,8,0
2021-09-30,Afghanistan,1,0,0,34,2
2021-09-30,Japan,3,1,0,116,1
2021-09-30,Sweden,1,0,0,8,0
2021-10-01,Afghanistan,1,0,0,35,1
2021-10-01,Japan,3,1,0,116,1
2021-10-01,Sweden,1,0,0,8,0
2021-10-02,Afghanistan,1,0,0,35,1
2021-10-02,Japan,3,1,0,116,1
2021-10-02,Sweden,1,0,0,8,0
2021-10-03,Afghanistan,1,0,0,35,1
2021-10-03,Japan,3,1,0,116,1
2021-10-03,Sweden,1,0,0,8,0
2021-10-04,Afghanistan,1,0,0,35,1
2021-10-04,Japan,3,1,0,116,1
2021-10-04,Sweden,1,0,0,8,0
2021-10-05,Afghanistan,1,0,0,36,0
2021-10-05,Japan,3,1,0,116,1
2021-10-05,Sweden,1,0,0,8,0
2021-10-06,Afghanistan,1,0,0,36,0
2021-10-06,Japan,3,1,0,116,1
2021-10-06,Sweden,1,0,0,8,0
2021-10-07,Afghanistan,1,0,0,36,0
2021-10-07,Japan,3,0,1,116,1
2021-10-07,Sweden,1,0,0,8,0
2021-10-08,Afghanistan,1,0,0,36,0
2021-10-08,Japan,3,0,1,116,1
2021-10-08,Sweden,1,0,0,8,0
2021-10-09,Afghanistan,1,0,0,36,0
2021-10-09,Japan,3,0,1,117,0
2021-10-09,Sweden,1,0,0,8,0
2021-10-10,Afghanistan,1,0,0,36,0
2021-10-10,Japan,3,0,1,117,0
2021-10-10,Sweden,1,0,0,8,0
2021-10-11,Afghanistan,1,0,0,36,0
2021-10-11,Japan,3,0,0,117,1
2021-10-11,Sweden,1,0,0,8,0
2021-10-12,Afghanistan,1,0,0,36,0
